county,state_name,cbsa,fips,cbsa_code
Brown County,South Dakota,"Aberdeen, SD",46013,10100
Edmunds County,South Dakota,"Aberdeen, SD",46045,10100
Grays Harbor County,Washington,"Aberdeen, WA",53027,10140
Callahan County,Texas,"Abilene, TX",48059,10180
Jones County,Texas,"Abilene, TX",48253,10180
Taylor County,Texas,"Abilene, TX",48441,10180
Pontotoc County,Oklahoma,"Ada, OK",40123,10220
Lenawee County,Michigan,"Adrian, MI",26091,10300
Aguada Municipio,Puerto Rico,"Aguadilla-Isabela, PR",72003,10380
Aguadilla Municipio,Puerto Rico,"Aguadilla-Isabela, PR",72005,10380
Añasco Municipio,Puerto Rico,"Aguadilla-Isabela, PR",72011,10380
Isabela Municipio,Puerto Rico,"Aguadilla-Isabela, PR",72071,10380
Lares Municipio,Puerto Rico,"Aguadilla-Isabela, PR",72081,10380
Moca Municipio,Puerto Rico,"Aguadilla-Isabela, PR",72099,10380
Rincón Municipio,Puerto Rico,"Aguadilla-Isabela, PR",72117,10380
San Sebastián Municipio,Puerto Rico,"Aguadilla-Isabela, PR",72131,10380
Utuado Municipio,Puerto Rico,"Aguadilla-Isabela, PR",72141,10380
Portage County,Ohio,"Akron, OH",39133,10420
Summit County,Ohio,"Akron, OH",39153,10420
Otero County,New Mexico,"Alamogordo, NM",35035,10460
Dougherty County,Georgia,"Albany, GA",13095,10500
Lee County,Georgia,"Albany, GA",13177,10500
Terrell County,Georgia,"Albany, GA",13273,10500
Worth County,Georgia,"Albany, GA",13321,10500
Linn County,Oregon,"Albany-Lebanon, OR",41043,10540
Albany County,New York,"Albany-Schenectady-Troy, NY",36001,10580
Rensselaer County,New York,"Albany-Schenectady-Troy, NY",36083,10580
Saratoga County,New York,"Albany-Schenectady-Troy, NY",36091,10580
Schenectady County,New York,"Albany-Schenectady-Troy, NY",36093,10580
Schoharie County,New York,"Albany-Schenectady-Troy, NY",36095,10580
Stanly County,North Carolina,"Albemarle, NC",37167,10620
Freeborn County,Minnesota,"Albert Lea, MN",27047,10660
Marshall County,Alabama,"Albertville, AL",1095,10700
Bernalillo County,New Mexico,"Albuquerque, NM",35001,10740
Sandoval County,New Mexico,"Albuquerque, NM",35043,10740
Torrance County,New Mexico,"Albuquerque, NM",35057,10740
Valencia County,New Mexico,"Albuquerque, NM",35061,10740
Coosa County,Alabama,"Alexander City, AL",1037,10760
Tallapoosa County,Alabama,"Alexander City, AL",1123,10760
Grant Parish,Louisiana,"Alexandria, LA",22043,10780
Rapides Parish,Louisiana,"Alexandria, LA",22079,10780
Douglas County,Minnesota,"Alexandria, MN",27041,10820
Duval County,Texas,"Alice, TX",48131,10860
Jim Wells County,Texas,"Alice, TX",48249,10860
Warren County,New Jersey,"Allentown-Bethlehem-Easton, PA-NJ",34041,10900
Carbon County,Pennsylvania,"Allentown-Bethlehem-Easton, PA-NJ",42025,10900
Lehigh County,Pennsylvania,"Allentown-Bethlehem-Easton, PA-NJ",42077,10900
Northampton County,Pennsylvania,"Allentown-Bethlehem-Easton, PA-NJ",42095,10900
Gratiot County,Michigan,"Alma, MI",26057,10940
Alpena County,Michigan,"Alpena, MI",26007,10980
Blair County,Pennsylvania,"Altoona, PA",42013,11020
Jackson County,Oklahoma,"Altus, OK",40065,11060
Armstrong County,Texas,"Amarillo, TX",48011,11100
Carson County,Texas,"Amarillo, TX",48065,11100
Oldham County,Texas,"Amarillo, TX",48359,11100
Potter County,Texas,"Amarillo, TX",48375,11100
Randall County,Texas,"Amarillo, TX",48381,11100
Schley County,Georgia,"Americus, GA",13249,11140
Sumter County,Georgia,"Americus, GA",13261,11140
