city,state,cbsa
brooklyn,new york,"New York-Newark-Jersey City, NY-NJ-PA"
orange county,california,"Los Angeles-Long Beach-Anaheim, CA"
irvine,california,"Los Angeles-Long Beach-Anaheim, CA"
scottsdale,arizona,"Phoenix-Mesa-Chandler, AZ"
bronx,new york,"New York-Newark-Jersey City, NY-NJ-PA"
west palm beach,florida,"Miami-Fort Lauderdale-Pompano Beach, FL"
plano,texas,"Dallas-Fort Worth-Arlington, TX"
queens county,new york,"New York-Newark-Jersey City, NY-NJ-PA"
cambridge,massachusetts,"Boston-Cambridge-Newton, MA-NH"
mountain view,california,"San Jose-Sunnyvale-Santa Clara, CA"
boulder,colorado,"Boulder, CO"
littleton,colorado,"Denver-Aurora-Lakewood, CO"
marietta,georgia,"Atlanta-Sandy Springs-Alpharetta, GA"
alpharetta,georgia,"Atlanta-Sandy Springs-Alpharetta, GA"
tempe,arizona,"Phoenix-Mesa-Chandler, AZ"
bellevue,washington,"Seattle-Tacoma-Bellevue, WA"
boca raton,florida,"Miami-Fort Lauderdale-Pompano Beach, FL"
hollywood,florida,"Miami-Fort Lauderdale-Pompano Beach, FL"
arlington,texas,"Dallas-Fort Worth-Arlington, TX"
irving,texas,"Dallas-Fort Worth-Arlington, TX"
katy,texas,"Houston-The Woodlands-Sugar Land, TX"
chandler,arizona,"Phoenix-Mesa-Chandler, AZ"
fremont,california,"San Francisco-Oakland-Berkeley, CA"
jersey city,new jersey,"New York-Newark-Jersey City, NY-NJ-PA"
santa clara,california,"San Jose-Sunnyvale-Santa Clara, CA"
sunnyvale,california,"San Jose-Sunnyvale-Santa Clara, CA"
berkeley,california,"San Francisco-Oakland-Berkeley, CA"
pompano beach,florida,"Miami-Fort Lauderdale-Pompano Beach, FL"
frisco,texas,"Dallas-Fort Worth-Arlington, TX"
riverside,california,"Riverside-San Bernardino-Ontario, CA"
silver spring,maryland,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
redmond,washington,"Seattle-Tacoma-Bellevue, WA"
wilmington,delaware,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
new alexandria,virginia,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
beverly hills,california,"Los Angeles-Long Beach-Anaheim, CA"
santa monica,california,"Los Angeles-Long Beach-Anaheim, CA"
staten island,new york,"New York-Newark-Jersey City, NY-NJ-PA"
gilbert,arizona,"Phoenix-Mesa-Chandler, AZ"
anaheim,california,"Los Angeles-Long Beach-Anaheim, CA"
mckinney,texas,"Dallas-Fort Worth-Arlington, TX"
palo alto,california,"San Jose-Sunnyvale-Santa Clara, CA"
chapel hill,north carolina,"Durham-Chapel Hill, NC"
raleigh durham chapel hill,north carolina,"Raleigh-Cary, NC"
buffalo niagara falls,new york,"Buffalo-Cheektowaga, NY"
bentonville,arkansas,"Fayetteville-Springdale-Rogers, AR"
suffolk,massachusetts,"Boston-Cambridge-Newton, MA-NH"
nueva york,nueva york,"New York-Newark-Jersey City, NY-NJ-PA"
oceanside,california,"San Diego-Chula Vista-Carlsbad, CA"
washington dc baltimore,,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
syracuse auburn,new york,"Syracuse, NY"
huntsville decatur albertville,alabama,"Huntsville, AL"
manhattan,new york,"New York-Newark-Jersey City, NY-NJ-PA"
greenwood village,colorado,"Denver-Aurora-Lakewood, CO"
plymouth,minnesota,"Minneapolis-St. Paul-Bloomington, MN-WI"
foster city,california,"San Francisco-Oakland-Berkeley, CA"
