county,state_name,csa,csa_state
Brown County,South Dakota,,
Edmunds County,South Dakota,,
Grays Harbor County,Washington,,
Callahan County,Texas,,
Jones County,Texas,,
Taylor County,Texas,,
Pontotoc County,Oklahoma,,
Lenawee County,Michigan,Detroit-Warren-Ann Arbor,MI
Lenawee County,Michigan,Detroit-Warren-Ann Arbor,MI
Aguada Municipio,Puerto Rico,,
Aguadilla Municipio,Puerto Rico,,
Añasco Municipio,Puerto Rico,Mayagüez-San Germán,PR
Añasco Municipio,Puerto Rico,,
Isabela Municipio,Puerto Rico,,
Lares Municipio,Puerto Rico,,
Moca Municipio,Puerto Rico,,
Rincón Municipio,Puerto Rico,,
San Sebastián Municipio,Puerto Rico,,
Utuado Municipio,Puerto Rico,,
Portage County,Ohio,Cleveland-Akron-Canton,OH
Summit County,Ohio,Cleveland-Akron-Canton,OH
Otero County,New Mexico,,
Dougherty County,Georgia,,
Lee County,Georgia,,
Terrell County,Georgia,,
Worth County,Georgia,,
Linn County,Oregon,Portland-Vancouver-Salem,OR-WA
Albany County,New York,Albany-Schenectady,NY
Rensselaer County,New York,Albany-Schenectady,NY
Saratoga County,New York,Albany-Schenectady,NY
Schenectady County,New York,Albany-Schenectady,NY
Schoharie County,New York,Albany-Schenectady,NY
Stanly County,North Carolina,Charlotte-Concord,NC-SC
Stanly County,North Carolina,Charlotte-Concord,NC-SC
Freeborn County,Minnesota,,
Marshall County,Alabama,,
Bernalillo County,New Mexico,Albuquerque-Santa Fe-Las Vegas,NM
Sandoval County,New Mexico,Albuquerque-Santa Fe-Las Vegas,NM
Torrance County,New Mexico,Albuquerque-Santa Fe-Las Vegas,NM
Valencia County,New Mexico,Albuquerque-Santa Fe-Las Vegas,NM
Coosa County,Alabama,Montgomery-Selma-Alexander City,AL
Tallapoosa County,Alabama,Montgomery-Selma-Alexander City,AL
Grant Parish,Louisiana,,
Rapides Parish,Louisiana,,
Douglas County,Minnesota,,
Duval County,Texas,Corpus Christi-Kingsville-Alice,TX
Jim Wells County,Texas,Corpus Christi-Kingsville-Alice,TX
Warren County,New Jersey,New York-Newark,NY-NJ-CT-PA
Warren County,New Jersey,,
Carbon County,Pennsylvania,,
Lehigh County,Pennsylvania,,
Northampton County,Pennsylvania,,
Gratiot County,Michigan,Mount Pleasant-Alma,MI
Alpena County,Michigan,,
Blair County,Pennsylvania,Altoona-Huntingdon,PA
Jackson County,Oklahoma,,
Armstrong County,Texas,Amarillo-Pampa-Borger,TX
Carson County,Texas,Amarillo-Pampa-Borger,TX
Oldham County,Texas,Amarillo-Pampa-Borger,TX
Potter County,Texas,Amarillo-Pampa-Borger,TX
Randall County,Texas,Amarillo-Pampa-Borger,TX
Schley County,Georgia,,
Sumter County,Georgia,,
Boone County,Iowa,Des Moines-Ames-West Des Moines,IA
Story County,Iowa,Des Moines-Ames-West Des Moines,IA
Montgomery County,New York,Albany-Schenectady,NY
Montgomery County,New York,Albany-Schenectady,NY
Anchorage Municipality,Alaska,,
Matanuska-Susitna Borough,Alaska,,
Andrews County,Texas,,
Steuben County,Indiana,Fort Wayne-Huntington-Auburn,IN
Washtenaw County,Michigan,Detroit-Warren-Ann Arbor,MI
Calhoun County,Alabama,,
Calumet County,Wisconsin,Appleton-Oshkosh-Neenah,WI
Outagamie County,Wisconsin,Appleton-Oshkosh-Neenah,WI
DeSoto County,Florida,North Port-Sarasota,FL
Carter County,Oklahoma,,
Love County,Oklahoma,,
Arecibo Municipio,Puerto Rico,San Juan-Bayamón,PR
Camuy Municipio,Puerto Rico,San Juan-Bayamón,PR
Hatillo Municipio,Puerto Rico,San Juan-Bayamón,PR
Quebradillas Municipio,Puerto Rico,San Juan-Bayamón,PR
Clark County,Arkansas,,
Buncombe County,North Carolina,Asheville-Marion-Brevard,NC
Haywood County,North Carolina,Asheville-Marion-Brevard,NC
Henderson County,North Carolina,Asheville-Marion-Brevard,NC
Madison County,North Carolina,Asheville-Marion-Brevard,NC
Ashland County,Ohio,Mansfield-Ashland-Bucyrus,OH
Ashtabula County,Ohio,Cleveland-Akron-Canton,OH
Ashtabula County,Ohio,Cleveland-Akron-Canton,OH
Clatsop County,Oregon,,
Atchison County,Kansas,Kansas City-Overland Park-Kansas City,MO-KS
Athens County,Ohio,,
McMinn County,Tennessee,Chattanooga-Cleveland-Dalton,TN-GA
Henderson County,Texas,Dallas-Fort Worth,TX-OK
Henderson County,Texas,Dallas-Fort Worth,TX-OK
Clarke County,Georgia,Atlanta--Athens-Clarke County--Sandy Springs,GA-AL
Madison County,Georgia,Atlanta--Athens-Clarke County--Sandy Springs,GA-AL
Oconee County,Georgia,Atlanta--Athens-Clarke County--Sandy Springs,GA-AL
Oglethorpe County,Georgia,Atlanta--Athens-Clarke County--Sandy Springs,GA-AL
Barrow County,Georgia,Atlanta--Athens-Clarke County--Sandy Springs,GA-AL
Bartow County,Georgia,Atlanta--Athens-Clarke County--Sandy Springs,GA-AL
Butts County,Georgia,Atlanta--Athens-Clarke County--Sandy Springs,GA-AL
Carroll County,Georgia,Atlanta--Athens-Clarke County--Sandy Springs,GA-AL
Cherokee County,Georgia,Atlanta--Athens-Clarke County--Sandy Springs,GA-AL
Clayton County,Georgia,Atlanta--Athens-Clarke County--Sandy Springs,GA-AL
Cobb County,Georgia,Atlanta--Athens-Clarke County--Sandy Springs,GA-AL
Coweta County,Georgia,Atlanta--Athens-Clarke County--Sandy Springs,GA-AL
Dawson County,Georgia,Atlanta--Athens-Clarke County--Sandy Springs,GA-AL
DeKalb County,Georgia,Atlanta--Athens-Clarke County--Sandy Springs,GA-AL
Douglas County,Georgia,Atlanta--Athens-Clarke County--Sandy Springs,GA-AL
Fayette County,Georgia,Atlanta--Athens-Clarke County--Sandy Springs,GA-AL
Forsyth County,Georgia,Atlanta--Athens-Clarke County--Sandy Springs,GA-AL
Fulton County,Georgia,Atlanta--Athens-Clarke County--Sandy Springs,GA-AL
Gwinnett County,Georgia,Atlanta--Athens-Clarke County--Sandy Springs,GA-AL
Haralson County,Georgia,Atlanta--Athens-Clarke County--Sandy Springs,GA-AL
Heard County,Georgia,Atlanta--Athens-Clarke County--Sandy Springs,GA-AL
Henry County,Georgia,Atlanta--Athens-Clarke County--Sandy Springs,GA-AL
Jasper County,Georgia,Atlanta--Athens-Clarke County--Sandy Springs,GA-AL
Lamar County,Georgia,Atlanta--Athens-Clarke County--Sandy Springs,GA-AL
Meriwether County,Georgia,Atlanta--Athens-Clarke County--Sandy Springs,GA-AL
Morgan County,Georgia,Atlanta--Athens-Clarke County--Sandy Springs,GA-AL
Newton County,Georgia,Atlanta--Athens-Clarke County--Sandy Springs,GA-AL
Paulding County,Georgia,Atlanta--Athens-Clarke County--Sandy Springs,GA-AL
Pickens County,Georgia,Atlanta--Athens-Clarke County--Sandy Springs,GA-AL
Pike County,Georgia,Atlanta--Athens-Clarke County--Sandy Springs,GA-AL
Rockdale County,Georgia,Atlanta--Athens-Clarke County--Sandy Springs,GA-AL
Spalding County,Georgia,Atlanta--Athens-Clarke County--Sandy Springs,GA-AL
Walton County,Georgia,Atlanta--Athens-Clarke County--Sandy Springs,GA-AL
Atlantic County,New Jersey,Philadelphia-Reading-Camden,PA-NJ-DE-MD
Escambia County,Alabama,Pensacola-Ferry Pass,FL-AL
DeKalb County,Indiana,Fort Wayne-Huntington-Auburn,IN
DeKalb County,Indiana,Fort Wayne-Huntington-Auburn,IN
Cayuga County,New York,Syracuse-Auburn,NY
Cayuga County,New York,Syracuse-Auburn,NY
Lee County,Alabama,Columbus-Auburn-Opelika,GA-AL
Burke County,Georgia,,
Columbia County,Georgia,,
Lincoln County,Georgia,,
McDuffie County,Georgia,,
Richmond County,Georgia,,
Aiken County,South Carolina,,
Edgefield County,South Carolina,,
