city,state,csa
brooklyn,new york,New York-Newark
orange county,california,Los Angeles-Long Beach
irvine,california,Los Angeles-Long Beach
scottsdale,arizona,Phoenix-Mesa
bronx,new york,New York-Newark
west palm beach,florida,Miami-Port St. Lucie-Fort Lauderdale
plano,texas,Dallas-Fort Worth
queens county,new york,New York-Newark
cambridge,massachusetts,Boston-Worcester-Providence
mountain view,california,San Jose-San Francisco-Oakland
boulder,colorado,Denver-Aurora
littleton,colorado,Denver-Aurora
marietta,georgia,Atlanta--Athens-Clarke County--Sandy Springs
alpharetta,georgia,Atlanta--Athens-Clarke County--Sandy Springs
tempe,arizona,Phoenix-Mesa
bellevue,washington,Seattle-Tacoma
boca raton,florida,Miami-Port St. Lucie-Fort Lauderdale
hollywood,florida,Miami-Port St. Lucie-Fort Lauderdale
arlington,texas,Dallas-Fort Worth
irving,texas,Dallas-Fort Worth
katy,texas,Houston-The Woodlands
chandler,arizona,Phoenix-Mesa
fremont,california,San Jose-San Francisco-Oakland
jersey city,new jersey,New York-Newark
santa clara,california,San Jose-San Francisco-Oakland
sunnyvale,california,San Jose-San Francisco-Oakland
berkeley,california,San Jose-San Francisco-Oakland
pompano beach,florida,Miami-Port St. Lucie-Fort Lauderdale
frisco,texas,Dallas-Fort Worth
riverside,california,Los Angeles-Long Beach
silver spring,maryland,Washington-Baltimore-Arlington
redmond,washington,Seattle-Tacoma
wilmington,delaware,Philadelphia-Reading-Camden
new alexandria,virginia,Washington-Baltimore-Arlington
beverly hills,california,Los Angeles-Long Beach
santa monica,california,Los Angeles-Long Beach
staten island,new york,New York-Newark
gilbert,arizona,Phoenix-Mesa
anaheim,california,Los Angeles-Long Beach
mckinney,texas,Dallas-Fort Worth
palo alto,california,San Jose-San Francisco-Oakland
chapel hill,north carolina,Raleigh-Durham-Cary
raleigh-durham-chapel hill,north carolina,Raleigh-Durham-Cary
