id,csa,name_csa
"new york, new york, united states",100408,"New York-Newark, NY-NJ-CT-PA"
new york city metropolitan area,100408,"New York-Newark, NY-NJ-CT-PA"
"brooklyn, new york, united states",100408,"New York-Newark, NY-NJ-CT-PA"
"bronx, new york, united states",100408,"New York-Newark, NY-NJ-CT-PA"
"queens county, new york, united states",100408,"New York-Newark, NY-NJ-CT-PA"
"jersey city, new jersey, united states",100408,"New York-Newark, NY-NJ-CT-PA"
"staten island, new york, united states",100408,"New York-Newark, NY-NJ-CT-PA"
"new haven, connecticut, united states",100408,"New York-Newark, NY-NJ-CT-PA"
"stamford, connecticut, united states",100408,"New York-Newark, NY-NJ-CT-PA"
"trenton, new jersey, united states",100408,"New York-Newark, NY-NJ-CT-PA"
"newark, new jersey, united states",100408,"New York-Newark, NY-NJ-CT-PA"
"queens, new york, united states",100408,"New York-Newark, NY-NJ-CT-PA"
"princeton, new jersey, united states",100408,"New York-Newark, NY-NJ-CT-PA"
"york, pennsylvania, united states",100408,"New York-Newark, NY-NJ-CT-PA"
"edison, new jersey, united states",100408,"New York-Newark, NY-NJ-CT-PA"
"hoboken, new jersey, united states",100408,"New York-Newark, NY-NJ-CT-PA"
"norwalk, connecticut, united states",100408,"New York-Newark, NY-NJ-CT-PA"
"yonkers, new york, united states",100408,"New York-Newark, NY-NJ-CT-PA"
"new york, united states",100408,"New York-Newark, NY-NJ-CT-PA"
"white plains, new york, united states",100408,"New York-Newark, NY-NJ-CT-PA"
"morristown, new jersey, united states",100408,"New York-Newark, NY-NJ-CT-PA"
"toms river, new jersey, united states",100408,"New York-Newark, NY-NJ-CT-PA"
"fairfield, connecticut, united states",100408,"New York-Newark, NY-NJ-CT-PA"
"poughkeepsie, new york, united states",100408,"New York-Newark, NY-NJ-CT-PA"
"bridgeport, connecticut, united states",100408,"New York-Newark, NY-NJ-CT-PA"
"huntington station, new york, united states",100408,"New York-Newark, NY-NJ-CT-PA"
greater new york city area,100408,"New York-Newark, NY-NJ-CT-PA"
"danbury, connecticut, united states",100408,"New York-Newark, NY-NJ-CT-PA"
"somerset, new jersey, united states",100408,"New York-Newark, NY-NJ-CT-PA"
"parsippany, new jersey, united states",100408,"New York-Newark, NY-NJ-CT-PA"
"clifton, new jersey, united states",100408,"New York-Newark, NY-NJ-CT-PA"
"bridgewater, new jersey, united states",100408,"New York-Newark, NY-NJ-CT-PA"
"greenwich, connecticut, united states",100408,"New York-Newark, NY-NJ-CT-PA"
"wayne, new jersey, united states",100408,"New York-Newark, NY-NJ-CT-PA"
"montclair, new jersey, united states",100408,"New York-Newark, NY-NJ-CT-PA"
"milford, connecticut, united states",100408,"New York-Newark, NY-NJ-CT-PA"
"new brunswick, new jersey, united states",100408,"New York-Newark, NY-NJ-CT-PA"
"union city, new jersey, united states",100408,"New York-Newark, NY-NJ-CT-PA"
"east brunswick, new jersey, united states",100408,"New York-Newark, NY-NJ-CT-PA"
"new rochelle, new york, united states",100408,"New York-Newark, NY-NJ-CT-PA"
"massapequa, new york, united states",100408,"New York-Newark, NY-NJ-CT-PA"
"freehold, new jersey, united states",100408,"New York-Newark, NY-NJ-CT-PA"
"waterbury, connecticut, united states",100408,"New York-Newark, NY-NJ-CT-PA"
"brick, new jersey, united states",100408,"New York-Newark, NY-NJ-CT-PA"
"elizabeth, new jersey, united states",100408,"New York-Newark, NY-NJ-CT-PA"
"hillsborough, new jersey, united states",100408,"New York-Newark, NY-NJ-CT-PA"
"hamden, connecticut, united states",100408,"New York-Newark, NY-NJ-CT-PA"
"york county, pennsylvania, united states",100408,"New York-Newark, NY-NJ-CT-PA"
"paterson, new jersey, united states",100408,"New York-Newark, NY-NJ-CT-PA"
"westport, connecticut, united states",100408,"New York-Newark, NY-NJ-CT-PA"
"hackensack, new jersey, united states",100408,"New York-Newark, NY-NJ-CT-PA"
"shelton, connecticut, united states",100408,"New York-Newark, NY-NJ-CT-PA"
"stratford, connecticut, united states",100408,"New York-Newark, NY-NJ-CT-PA"
"bloomfield, new jersey, united states",100408,"New York-Newark, NY-NJ-CT-PA"
"wallingford, connecticut, united states",100408,"New York-Newark, NY-NJ-CT-PA"
"west orange, new jersey, united states",100408,"New York-Newark, NY-NJ-CT-PA"
"melville, new york, united states",100408,"New York-Newark, NY-NJ-CT-PA"
"basking ridge, new jersey, united states",100408,"New York-Newark, NY-NJ-CT-PA"
"livingston, new jersey, united states",100408,"New York-Newark, NY-NJ-CT-PA"
"bayonne, new jersey, united states",100408,"New York-Newark, NY-NJ-CT-PA"
"north brunswick, new jersey, united states",100408,"New York-Newark, NY-NJ-CT-PA"
"trumbull, connecticut, united states",100408,"New York-Newark, NY-NJ-CT-PA"
"monroe, new jersey, united states",100408,"New York-Newark, NY-NJ-CT-PA"
"valley stream, new york, united states",100408,"New York-Newark, NY-NJ-CT-PA"
"teaneck, new jersey, united states",100408,"New York-Newark, NY-NJ-CT-PA"
"middletown, new york, united states",100408,"New York-Newark, NY-NJ-CT-PA"
"west haven, connecticut, united states",100408,"New York-Newark, NY-NJ-CT-PA"
"brooklyn, nueva york, estados unidos",100408,"New York-Newark, NY-NJ-CT-PA"
"new hyde park, new york, united states",100408,"New York-Newark, NY-NJ-CT-PA"
"flemington, new jersey, united states",100408,"New York-Newark, NY-NJ-CT-PA"
