city,state,state_code,csa,id,cnt
united states,,,,united states,8905496
new york,new york,ny,new york-newark,"new york, new york, united states",6907648
new york city metropolitan area,,,new york-newark,new york city metropolitan area,5722732
greater chicago area,,,chicago-naperville,greater chicago area,4857017
los angeles,california,ca,los angeles-long beach,"los angeles, california, united states",3972117
san francisco bay area,,,san jose-san francisco-oakland,san francisco bay area,3408511
houston,texas,tx,houston-the woodlands,"houston, texas, united states",3146428
los angeles metropolitan area,,,los angeles-long beach,los angeles metropolitan area,2973420
dallas-fort worth metroplex,,,dallas-fort worth,dallas-fort worth metroplex,2376846
greater boston,,,boston-worcester-providence,greater boston,2376211
atlanta,georgia,ga,atlanta--athens-clarke county--sandy springs,"atlanta, georgia, united states",2316136
washington dc-baltimore area,,,washington-baltimore-arlington,washington dc-baltimore area,2293972
austin,texas,tx,austin-round rock-georgetown,"austin, texas, united states",2277815
seattle,washington,wa,seattle-tacoma,"seattle, washington, united states",2205670
washington,district of columbia,dc,washington-baltimore-arlington,"washington, district of columbia, united states",2202655
san francisco,california,ca,san jose-san francisco-oakland,"san francisco, california, united states",2192023
san diego,california,ca,san diego-chula vista-carlsbad,"san diego, california, united states",2076588
brooklyn,new york,ny,new york-newark,"brooklyn, new york, united states",1918851
atlanta metropolitan area,,,atlanta--athens-clarke county--sandy springs,atlanta metropolitan area,1904007
denver,colorado,co,denver-aurora,"denver, colorado, united states",1889039
dallas,texas,tx,dallas-fort worth,"dallas, texas, united states",1806453
miami,florida,fl,miami-port st. lucie-fort lauderdale,"miami, florida, united states",1695229
philadelphia,pennsylvania,pa,philadelphia-reading-camden,"philadelphia, pennsylvania, united states",1682748
minneapolis,minnesota,mn,minneapolis-st. paul,"minneapolis, minnesota, united states",1657797
greater philadelphia,,,philadelphia-reading-camden,greater philadelphia,1640287
boston,massachusetts,ma,boston-worcester-providence,"boston, massachusetts, united states",1603941
charlotte,north carolina,nc,charlotte-concord,"charlotte, north carolina, united states",1508088
greater houston,,,houston-the woodlands,greater houston,1507612
greater seattle area,,,seattle-tacoma,greater seattle area,1474735
chicago,illinois,il,chicago-naperville,"chicago, illinois, united states",1423970
portland,oregon,or,portland-vancouver-salem,"portland, oregon, united states",1405854
phoenix,arizona,az,phoenix-mesa,"phoenix, arizona, united states",1323377
san antonio,texas,tx,san antonio-new braunfels-pearsall,"san antonio, texas, united states",1314446
greater minneapolis-st. paul area,,,minneapolis-st. paul,greater minneapolis-st. paul area,1251920
denver metropolitan area,,,denver-aurora,denver metropolitan area,1211399
san jose,california,ca,san jose-san francisco-oakland,"san jose, california, united states",1196748
orlando,florida,fl,orlando-lakeland-deltona,"orlando, florida, united states",1189616
las vegas,nevada,nv,las vegas-henderson,"las vegas, nevada, united states",1174948
detroit metropolitan area,,,detroit-warren-ann arbor,detroit metropolitan area,1164963
greater phoenix area,,,phoenix-mesa,greater phoenix area,1100131
tampa,florida,fl,tampa-st. petersburg-clearwater,"tampa, florida, united states",1038297
st louis,missouri,mo,st. louis-st. charles-farmington,"st louis, missouri, united states",1036538
indianapolis,indiana,in,indianapolis-carmel-muncie,"indianapolis, indiana, united states",1016178
columbus,ohio,oh,columbus-marion-zanesville,"columbus, ohio, united states",1015028
cincinnati,ohio,oh,cincinnati-wilmington-maysville,"cincinnati, ohio, united states",946004
pittsburgh,pennsylvania,pa,pittsburgh-new castle-weirton,"pittsburgh, pennsylvania, united states",937332
nashville,tennessee,tn,nashville-davidson--murfreesboro,"nashville, tennessee, united states",931776
miami-fort lauderdale area,,,miami-port st. lucie-fort lauderdale,miami-fort lauderdale area,929679
raleigh,north carolina,nc,raleigh-durham-cary,"raleigh, north carolina, united states",921475
st paul,minnesota,mn,minneapolis-st. paul,"st paul, minnesota, united states",825401
jacksonville,florida,fl,jacksonville-st. marys-palatka,"jacksonville, florida, united states",821917
fort lauderdale,florida,fl,miami-port st. lucie-fort lauderdale,"fort lauderdale, florida, united states",788758
greater tampa bay area,,,tampa-st. petersburg-clearwater,greater tampa bay area,781038
salt lake city,utah,ut,salt lake city-provo-orem,"salt lake city, utah, united states",758226
milwaukee,wisconsin,wi,milwaukee-racine-waukesha,"milwaukee, wisconsin, united states",756622
raleigh-durham-chapel hill area,,,,raleigh-durham-chapel hill area,706391
fort worth,texas,tx,dallas-fort worth,"fort worth, texas, united states",703464
austin,texas metropolitan area,tx,austin-round rock-georgetown,"austin, texas metropolitan area",702630
cleveland,ohio,oh,cleveland-akron-canton,"cleveland, ohio, united states",686834
baltimore,maryland,md,washington-baltimore-arlington,"baltimore, maryland, united states",684294
greater st. louis,,,st. louis-st. charles-farmington,greater st. louis,674409
sacramento,california,ca,sacramento-roseville,"sacramento, california, united states",669120
charlotte metro,,,charlotte-concord,charlotte metro,667641
kansas city,missouri,mo,kansas city-overland park-kansas city,"kansas city, missouri, united states",651732
louisville,kentucky,ky,louisville/jefferson county--elizabethtown--bardstown,"louisville, kentucky, united states",650566
greater orlando,,,orlando-lakeland-deltona,greater orlando,639993
san diego county,california,ca,san diego-chula vista-carlsbad,"san diego county, california, united states",632911
richmond,virginia,va,richmond,"richmond, virginia, united states",628975
portland,oregon metropolitan area,or,portland-vancouver-salem,"portland, oregon metropolitan area",614651
tucson,arizona,az,tucson-nogales,"tucson, arizona, united states",605655
orange county,california,ca,los angeles-long beach,"orange county, california, united states",603822
greater cleveland,,,cleveland-akron-canton,greater cleveland,602125
colorado springs,colorado,co,colorado springs,"colorado springs, colorado, united states",595945
los angeles county,california,ca,los angeles-long beach,"los angeles county, california, united states",582733
nashville metropolitan area,,,nashville-davidson--murfreesboro,nashville metropolitan area,567504
omaha,nebraska,ne,omaha-council bluffs-fremont,"omaha, nebraska, united states",561667
irvine,california,ca,los angeles-long beach,"irvine, california, united states",560928
columbus,ohio metropolitan area,oh,columbus-marion-zanesville,"columbus, ohio metropolitan area",551545
greater pittsburgh region,,,pittsburgh-new castle-weirton,greater pittsburgh region,537278
scottsdale,arizona,az,phoenix-mesa,"scottsdale, arizona, united states",519231
salt lake city metropolitan area,,,salt lake city-provo-orem,salt lake city metropolitan area,512954
bronx,new york,ny,new york-newark,"bronx, new york, united states",512023
birmingham,alabama,al,birmingham-hoover-talladega,"birmingham, alabama, united states",509225
madison,wisconsin,wi,madison-janesville-beloit,"madison, wisconsin, united states",502639
kansas city metropolitan area,,,kansas city-overland park-kansas city,kansas city metropolitan area,495151
memphis,tennessee,tn,memphis-forrest city,"memphis, tennessee, united states",490565
oklahoma city,oklahoma,ok,oklahoma city-shawnee,"oklahoma city, oklahoma, united states",483909
greater indianapolis,,,indianapolis-carmel-muncie,greater indianapolis,482158
west palm beach,florida,fl,miami-port st. lucie-fort lauderdale,"west palm beach, florida, united states",478706
cincinnati metropolitan area,,,cincinnati-wilmington-maysville,cincinnati metropolitan area,474011
plano,texas,tx,dallas-fort worth,"plano, texas, united states",462053
oakland,california,ca,san jose-san francisco-oakland,"oakland, california, united states",460688
buffalo,new york,ny,buffalo-cheektowaga-olean,"buffalo, new york, united states",457327
rochester,new york,ny,rochester-batavia-seneca falls,"rochester, new york, united states",448978
arlington,virginia,va,washington-baltimore-arlington,"arlington, virginia, united states",439295
grand rapids,michigan,mi,grand rapids-kentwood-muskegon,"grand rapids, michigan, united states",439250
greater sacramento,,,sacramento-roseville,greater sacramento,430480
albuquerque,new mexico,nm,albuquerque-santa fe-las vegas,"albuquerque, new mexico, united states",429412
virginia beach,virginia,va,virginia beach-norfolk,"virginia beach, virginia, united states",426648
greater milwaukee,,,milwaukee-racine-waukesha,greater milwaukee,424250
san antonio,texas metropolitan area,tx,san antonio-new braunfels-pearsall,"san antonio, texas metropolitan area",417213
new orleans,louisiana,la,new orleans-metairie-hammond,"new orleans, louisiana, united states",409552
knoxville,tennessee,tn,knoxville-morristown-sevierville,"knoxville, tennessee, united states",404853
durham,north carolina,nc,raleigh-durham-cary,"durham, north carolina, united states",399208
detroit,michigan,mi,detroit-warren-ann arbor,"detroit, michigan, united states",393698
queens county,new york,ny,new york-newark,"queens county, new york, united states",390161
cambridge,massachusetts,ma,boston-worcester-providence,"cambridge, massachusetts, united states",377900
dayton,ohio,oh,dayton-springfield-kettering,"dayton, ohio, united states",375755
tulsa,oklahoma,ok,tulsa-muskogee-bartlesville,"tulsa, oklahoma, united states",375500
long beach,california,ca,los angeles-long beach,"long beach, california, united states",374831
mountain view,california,ca,san jose-san francisco-oakland,"mountain view, california, united states",364436
spring,texas,tx,big spring,"spring, texas, united states",362346
st petersburg,florida,fl,tampa-st. petersburg-clearwater,"st petersburg, florida, united states",361480
mesa,arizona,az,phoenix-mesa,"mesa, arizona, united states",361365
las vegas metropolitan area,,,albuquerque-santa fe-las vegas,las vegas metropolitan area,360769
baltimore city county,maryland,md,washington-baltimore-arlington,"baltimore city county, maryland, united states",356011
ann arbor,michigan,mi,detroit-warren-ann arbor,"ann arbor, michigan, united states",350837
fort collins,colorado,co,fort collins,"fort collins, colorado, united states",349352
boulder,colorado,co,denver-aurora,"boulder, colorado, united states",339809
littleton,colorado,co,denver-aurora,"littleton, colorado, united states",335842
marietta,georgia,ga,atlanta--athens-clarke county--sandy springs,"marietta, georgia, united states",331895
boise,idaho,id,boise city-mountain home-ontario,"boise, idaho, united states",325028
greensboro,north carolina,nc,greensboro--winston-salem--high point,"greensboro, north carolina, united states",317863
aurora,colorado,co,denver-aurora,"aurora, colorado, united states",317294
el paso,texas,tx,el paso-las cruces,"el paso, texas, united states",315948
alpharetta,georgia,ga,atlanta--athens-clarke county--sandy springs,"alpharetta, georgia, united states",311410
baton rouge,louisiana,la,baton rouge,"baton rouge, louisiana, united states",309987
greater richmond region,,,augusta-richmond county,greater richmond region,308081
tempe,arizona,az,phoenix-mesa,"tempe, arizona, united states",307732
charleston,south carolina,sc,charleston-north charleston,"charleston, south carolina, united states",304916
bellevue,washington,wa,seattle-tacoma,"bellevue, washington, united states",300216
lexington,kentucky,ky,lexington-fayette--richmond--frankfort,"lexington, kentucky, united states",299717
boca raton,florida,fl,miami-port st. lucie-fort lauderdale,"boca raton, florida, united states",298464
hollywood,florida,fl,miami-port st. lucie-fort lauderdale,"hollywood, florida, united states",296090
metro jacksonville,,,jacksonville-st. marys-palatka,metro jacksonville,291767
greater hartford,,,hartford-east hartford,greater hartford,290276
arlington,texas,tx,dallas-fort worth,"arlington, texas, united states",289385
wichita,kansas,ks,wichita-winfield,"wichita, kansas, united states",285218
greenville,south carolina,sc,greenville-spartanburg-anderson,"greenville, south carolina, united states",285171
overland park,kansas,ks,kansas city-overland park-kansas city,"overland park, kansas, united states",283964
vancouver,washington,wa,portland-vancouver-salem,"vancouver, washington, united states",282721
irving,texas,tx,dallas-fort worth,"irving, texas, united states",281573
katy,texas,tx,houston-the woodlands,"katy, texas, united states",281368
tallahassee,florida,fl,tallahassee,"tallahassee, florida, united states",281020
chandler,arizona,az,phoenix-mesa,"chandler, arizona, united states",278459
tacoma,washington,wa,seattle-tacoma,"tacoma, washington, united states",276612
spokane,washington,wa,spokane-spokane valley-coeur d'alene,"spokane, washington, united states",276463
bakersfield,california,ca,bakersfield,"bakersfield, california, united states",276326
reno,nevada,nv,reno-carson city-fernley,"reno, nevada, united states",275152
naples,florida,fl,cape coral-fort myers-naples,"naples, florida, united states",271767
fremont,california,ca,san jose-san francisco-oakland,"fremont, california, united states",268217
jersey city,new jersey,nj,new york-newark,"jersey city, new jersey, united states",267989
santa clara,california,ca,san jose-san francisco-oakland,"santa clara, california, united states",267402
sunnyvale,california,ca,san jose-san francisco-oakland,"sunnyvale, california, united states",267349
berkeley,california,ca,san jose-san francisco-oakland,"berkeley, california, united states",263702
fresno,california,ca,fresno-madera-hanford,"fresno, california, united states",258622
pompano beach,florida,fl,miami-port st. lucie-fort lauderdale,"pompano beach, florida, united states",256637
provo,utah,ut,salt lake city-provo-orem,"provo, utah, united states",255076
grand rapids metropolitan area,,,grand rapids-kentwood-muskegon,grand rapids metropolitan area,249195
sarasota,florida,fl,north port-sarasota,"sarasota, florida, united states",248806
lincoln,nebraska,ne,lincoln-beatrice,"lincoln, nebraska, united states",248288
oklahoma city metropolitan area,,,oklahoma city-shawnee,oklahoma city metropolitan area,246591
frisco,texas,tx,dallas-fort worth,"frisco, texas, united states",244953
riverside,california,ca,los angeles-long beach,"riverside, california, united states",244841
eugene,oregon,or,eugene-springfield,"eugene, oregon, united states",242159
huntsville,alabama,al,huntsville-decatur,"huntsville, alabama, united states",240398
greensboro--winston-salem--high point area,,,greensboro--winston-salem--high point,greensboro--winston-salem--high point area,240232
gainesville,florida,fl,gainesville-lake city,"gainesville, florida, united states",239986
louisville metropolitan area,,,louisville/jefferson county--elizabethtown--bardstown,louisville metropolitan area,239454
fort wayne,indiana,in,fort wayne-huntington-auburn,"fort wayne, indiana, united states",239396
silver spring,maryland,md,washington-baltimore-arlington,"silver spring, maryland, united states",237921
henderson,nevada,nv,las vegas-henderson,"henderson, nevada, united states",236843
providence,rhode island,ri,boston-worcester-providence,"providence, rhode island, united states",235985
