met2013,csa_m13,name_met2013,name_csa_m13
11460,100220,"ann arbor, mi","Detroit-Warren-Ann Arbor, MI"
32420,100364,"mayagã¼ez, pr","Mayagüez-San Germán, PR"
10420,100184,"akron, oh","Cleveland-Akron-Canton, OH"
10580,100104,"albany-schenectady-troy, ny","Albany-Schenectady, NY"
16740,100172,"charlotte-concord-gastonia, nc-sc","Charlotte-Concord, NC-SC"
10740,100106,"albuquerque, nm","Albuquerque-Santa Fe-Las Vegas, NM"
10780,10780,"alexandria, la","Alexandria, LA"
10900,10900,"allentown-bethlehem-easton, pa-nj","Allentown-Bethlehem-Easton, PA-NJ"
11020,100107,"altoona, pa","Altoona-Huntingdon, PA"
11100,100108,"amarillo, tx","Amarillo-Pampa-Borger, TX"
11260,11260,"anchorage, ak","Anchorage, AK"
11500,11500,"anniston-oxford-jacksonville, al","Anniston-Oxford, AL"
11700,100120,"asheville, nc","Asheville-Marion-Brevard, NC"
17460,100184,"cleveland-elyria, oh","Cleveland-Akron-Canton, OH"
19100,100206,"dallas-fort worth-arlington, tx","Dallas-Fort Worth, TX-OK"
12020,100122,"athens-clarke county, ga","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL"
12060,100122,"atlanta-sandy springs-roswell, ga","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL"
12100,100428,"atlantic city-hammonton, nj","Philadelphia-Reading-Camden, PA-NJ-DE-MD"
23060,100258,"fort wayne, in","Fort Wayne-Huntington-Auburn, IN"
45060,100532,"syracuse, ny","Syracuse-Auburn, NY"
12220,100194,"auburn-opelika, al","Columbus-Auburn-Opelika, GA-AL"
12260,12260,"augusta-richmond county, ga-sc","Augusta-Richmond County, GA-SC"
12420,12420,"austin-round rock, tx","Austin-Round Rock-Georgetown, TX"
12540,12540,"bakersfield, ca","Bakersfield, CA"
12580,100548,"baltimore-columbia-towson, md","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
12620,12620,"bangor, me","Bangor, ME"
12700,100148,"barnstable town, ma","Boston-Worcester-Providence, MA-RI-NH-CT"
40380,100464,"rochester, ny","Rochester-Batavia-Seneca Falls, NY"
12940,12940,"baton rouge, la","Baton Rouge, LA"
