metaread,csa_md,name_metaread,name_csa_md
40,10180,"abilene, tx","Abilene, TX"
440,100220,"ann arbor, mi","Detroit-Warren-Ann Arbor, MI"
60,10380,"aguadilla, pr","Aguadilla-Isabela, PR"
4840,100364,"mayaguez, pr","Mayagüez-San Germán, PR"
80,100184,"akron, oh","Cleveland-Akron-Canton, OH"
120,10500,"albany, ga","Albany, GA"
160,100104,"albany-schenectady-troy, ny","Albany-Schenectady, NY"
1520,100172,"charlotte-gastonia-rock hill, sc","Charlotte-Concord, NC-SC"
200,100106,"albuquerque, nm","Albuquerque-Santa Fe-Las Vegas, NM"
220,10780,"alexandria, la","Alexandria, LA"
240,10900,"allentown-bethlehem-easton, pa/nj","Allentown-Bethlehem-Easton, PA-NJ"
280,100107,"altoona, pa","Altoona-Huntingdon, PA"
320,100108,"amarillo, tx","Amarillo-Pampa-Borger, TX"
380,11260,"anchorage, ak","Anchorage, AK"
450,11500,"anniston, al","Anniston-Oxford, AL"
460,100118,"appleton-oshkosh-neenah, wi","Appleton-Oshkosh-Neenah, WI"
470,100490,"arecibo, pr","San Juan-Bayamón, PR"
480,100120,"asheville, nc","Asheville-Marion-Brevard, NC"
4440,100184,"lorain-elyria, oh","Cleveland-Akron-Canton, OH"
1680,100184,"cleveland, oh","Cleveland-Akron-Canton, OH"
1920,100206,"dallas-fort worth, tx","Dallas-Fort Worth, TX-OK"
500,100122,"athens, ga","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL"
520,100122,"atlanta, ga","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL"
560,100428,"atlantic city, nj","Philadelphia-Reading-Camden, PA-NJ-DE-MD"
2760,100258,"fort wayne, in","Fort Wayne-Huntington-Auburn, IN"
8160,100532,"syracuse, ny","Syracuse-Auburn, NY"
580,100194,"auburn-opelika, al","Columbus-Auburn-Opelika, GA-AL"
600,12260,"augusta-aiken, ga/sc","Augusta-Richmond County, GA-SC"
640,12420,"austin, tx","Austin-Round Rock-Georgetown, TX"
680,12540,"bakersfield, ca","Bakersfield, CA"
720,100548,"baltimore, md","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
730,12620,"bangor, me","Bangor, ME"
740,100148,"barnstable-yarmouth, ma","Boston-Worcester-Providence, MA-RI-NH-CT"
6840,100464,"rochester, ny","Rochester-Batavia-Seneca Falls, NY"
760,12940,"baton rouge, la","Baton Rouge, LA"
3720,100310,"kalamazoo-portage, mi","Kalamazoo-Battle Creek-Portage, MI"
6961,100474,"bay city, mi","Saginaw-Midland-Bay City, MI"
6960,100474,"saginaw-bay city-midland, mi","Saginaw-Midland-Bay City, MI"
840,13140,"beaumont-port arthur-orange, tx","Beaumont-Port Arthur, TX"
860,13380,"bellingham, wa","Bellingham, WA"
880,13740,"billings, mt","Billings, MT"
960,13780,"binghamton, ny","Binghamton, NY"
1000,100142,"birmingham, al","Birmingham-Hoover-Talladega, AL"
1010,13900,"bismarck, nd","Bismarck, ND"
1040,100145,"bloomington-normal, il","Bloomington-Pontiac, IL"
1020,100144,"bloomington, in","Bloomington-Bedford, IN"
7561,42540,"wilkes-barre-hazelton, pa","Scranton--Wilkes-Barre, PA"
7560,42540,"scranton-wilkes-barre, pa","Scranton--Wilkes-Barre, PA"
1080,100147,"boise city, id","Boise City-Mountain Home-Ontario, ID-OR"
1120,100148,"boston, ma","Boston-Worcester-Providence, MA-RI-NH-CT"
1121,100148,"lawrence-haverhill, ma/nh","Boston-Worcester-Providence, MA-RI-NH-CT"
1122,100148,"lowell, ma/nh","Boston-Worcester-Providence, MA-RI-NH-CT"
6450,100148,"portsmouth-dover-rochester, nh/me","Boston-Worcester-Providence, MA-RI-NH-CT"
1123,100148,"salem-gloucester, ma","Boston-Worcester-Providence, MA-RI-NH-CT"
2081,100216,"boulder-longmont, co","Denver-Aurora, CO"
1150,100500,"bremerton, wa","Seattle-Tacoma, WA"
8040,100408,"stamford, ct","New York-Newark, NY-NJ-CT-PA"
5481,100408,meriden,"New York-Newark, NY-NJ-CT-PA"
5482,100408,"new haven, ct","New York-Newark, NY-NJ-CT-PA"
8880,100408,"waterbury, ct","New York-Newark, NY-NJ-CT-PA"
5760,100408,"norwalk, ct","New York-Newark, NY-NJ-CT-PA"
1930,100408,"danbury, ct","New York-Newark, NY-NJ-CT-PA"
1240,100154,"brownsville-harlingen-san benito, tx","Brownsville-Harlingen-Raymondville, TX"
4800,100360,"mansfield, oh","Mansfield-Ashland-Bucyrus, OH"
1281,100160,"niagara falls, ny","Buffalo-Cheektowaga-Olean, NY"
1280,100160,"buffalo-niagara falls, ny","Buffalo-Cheektowaga-Olean, NY"
1300,100268,"burlington, nc","Greensboro--Winston-Salem--High Point, NC"
3120,100268,"greensboro-winston salem-high point, nc","Greensboro--Winston-Salem--High Point, NC"
1310,100162,"burlington, vt","Burlington-South Burlington-Barre, VT"
1320,100184,"canton, oh","Cleveland-Akron-Canton, OH"
2700,100163,"fort myers-cape coral, fl","Cape Coral-Fort Myers-Naples, FL"
1350,16220,"casper, wy","Casper, WY"
1360,100168,"cedar rapids, ia","Cedar Rapids-Iowa City, IA"
1400,16580,"champaign-urbana-rantoul, il","Champaign-Urbana, IL"
1480,100170,"charleston, wv","Charleston-Huntington-Ashland, WV-OH-KY"
1440,16700,"charleston-n. charleston, sc","Charleston-North Charleston, SC"
1521,100172,"rock hill, sc","Charlotte-Concord, NC-SC"
7140,100172,"salisbury-concord, nc","Charlotte-Concord, NC-SC"
1540,16820,"charlottesville, va","Charlottesville, VA"
1560,100174,"chattanooga, tn/ga","Chattanooga-Cleveland-Dalton, TN-GA"
1580,16940,"cheyenne, wy","Cheyenne, WY"
1600,100176,"chicago-gary-lake, il","Chicago-Naperville, IL-IN-WI"
1601,100176,"aurora-elgin, il","Chicago-Naperville, IL-IN-WI"
1602,100176,"gary-hammond-east chicago, in","Chicago-Naperville, IL-IN-WI"
1604,100176,"lake county, il","Chicago-Naperville, IL-IN-WI"
3800,100176,"kenosha, wi","Chicago-Naperville, IL-IN-WI"
1603,100176,"joliet, il","Chicago-Naperville, IL-IN-WI"
1620,17020,"chico, ca","Chico, CA"
1640,100178,"cincinnati, oh/ky/in","Cincinnati-Wilmington-Maysville, OH-KY-IN"
3200,100178,"hamilton-middleton, oh","Cincinnati-Wilmington-Maysville, OH-KY-IN"
1660,17300,"clarksville-hopkinsville, tn/ky","Clarksville, TN-KY"
1260,17780,"bryan-college station, tx","College Station-Bryan, TX"
1720,17820,"colorado springs, co","Colorado Springs, CO"
1740,100190,"columbia, mo","Columbia-Moberly-Mexico, MO"
1760,100192,"columbia, sc","Columbia-Orangeburg-Newberry, SC"
1800,100194,"columbus, ga/al","Columbus-Auburn-Opelika, GA-AL"
1840,100198,"columbus, oh","Columbus-Marion-Zanesville, OH"
5640,100198,"newark, oh","Columbus-Marion-Zanesville, OH"
1880,100204,"corpus christi, tx","Corpus Christi-Kingsville-Alice, TX"
2750,18880,"fort walton beach, fl","Crestview-Fort Walton Beach-Destin, FL"
1900,19060,"cumberland, md/wv","Cumberland, MD-WV"
1921,100206,"fort worth-arlington, tx","Dallas-Fort Worth, TX-OK"
1950,19260,"danville, va","Danville, VA"
5160,100380,"mobile, al","Mobile-Daphne-Fairhope, AL"
1960,100209,"davenport, ia - rock island-moline, il","Davenport-Moline, IA-IL"
2001,100212,"springfield, oh","Dayton-Springfield-Kettering, OH"
2000,100212,"dayton-springfield, oh","Dayton-Springfield-Kettering, OH"
2030,100290,"decatur, al","Huntsville-Decatur, AL"
2040,19500,"decatur, il","Decatur, IL"
2020,100422,"daytona beach, fl","Orlando-Lakeland-Deltona, FL"
2080,100216,"denver-boulder-longmont, co","Denver-Aurora, CO"
2120,100218,"des moines, ia","Des Moines-Ames-West Des Moines, IA"
2121,100218,"polk, ia","Des Moines-Ames-West Des Moines, IA"
2160,100220,"detroit, mi","Detroit-Warren-Ann Arbor, MI"
2180,100222,"dothan, al","Dothan-Ozark, AL"
2190,100428,"dover, de","Philadelphia-Reading-Camden, PA-NJ-DE-MD"
2200,20220,"dubuque, ia","Dubuque, IA"
2240,20260,"duluth-superior, mn/wi","Duluth, MN-WI"
6641,100450,"durham, nc","Raleigh-Durham-Cary, NC"
6640,100450,"raleigh-durham, nc","Raleigh-Durham-Cary, NC"
2290,100232,"eau claire, wi","Eau Claire-Menomonie, WI"
2320,100515,"elkhart-goshen, in","South Bend-Elkhart-Mishawaka, IN-MI"
2330,100236,"elmira, ny","Elmira-Corning, NY"
2310,100238,"el paso, tx","El Paso-Las Cruces, TX-NM"
2340,21420,"enid, ok","Enid, OK"
2360,100240,"erie, pa","Erie-Meadville, PA"
2400,21660,"eugene-springfield, or","Eugene-Springfield, OR"
2440,21780,"evansville, in/ky","Evansville, IN-KY"
2520,100244,"fargo-morehead, nd/mn","Fargo-Wahpeton, ND-MN"
2560,100246,"fayetteville, nc","Fayetteville-Sanford-Lumberton, NC"
2580,22220,"fayetteville-springdale, ar","Fayetteville-Springdale-Rogers, AR"
2620,22380,"flagstaff, az/ut","Flagstaff, AZ"
2640,100220,"flint, mi","Detroit-Warren-Ann Arbor, MI"
2660,22500,"florence, sc","Florence, SC"
2650,22520,"florence, al","Florence-Muscle Shoals, AL"
2670,22660,"fort collins-loveland, co","Fort Collins, CO"
2720,22900,"fort smith, ar/ok","Fort Smith, AR-OK"
3920,100320,"lafayette-w. lafayette, in","Lafayette-West Lafayette-Frankfort, IN"
2840,100260,"fresno, ca","Fresno-Madera-Hanford, CA"
2880,23460,"gadsden, al","Gadsden, AL"
3160,100273,"greenville-spartenburg-anderson, sc","Greenville-Spartanburg-Anderson, SC"
2900,100264,"gainesville, fl","Gainesville-Lake City, FL"
2970,100104,"glens falls, ny","Albany-Schenectady, NY"
2980,24140,"goldsboro, nc","Goldsboro, NC"
2990,24220,"grand forks, nd/mn","Grand Forks, ND-MN"
3010,24300,"grand junction, co","Grand Junction, CO"
5320,100266,"muskegon-norton shores-muskegon heights, mi","Grand Rapids-Kentwood-Muskegon, MI"
3000,100266,"grand rapids, mi","Grand Rapids-Kentwood-Muskegon, MI"
3040,24500,"great falls, mt","Great Falls, MT"
3060,100216,"greeley, co","Denver-Aurora, CO"
3080,100267,"green bay, wi","Green Bay-Shawano, WI"
3121,100268,"winston-salem, nc","Greensboro--Winston-Salem--High Point, NC"
3150,100272,"greenville, nc","Greenville-Kinston-Washington, NC"
3161,100273,"anderson, sc","Greenville-Spartanburg-Anderson, SC"
6030,25060,"pascagoula-moss point, ms","Gulfport-Biloxi, MS"
920,25060,"biloxi-gulfport, ms","Gulfport-Biloxi, MS"
3180,100548,"hagerstown, md","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
8840,100548,"washington, dc/md/va","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
3240,100276,"harrisburg-lebanon-carlisle, pa","Harrisburg-York-Lebanon, PA"
3283,100278,"new britain, ct","Hartford-East Hartford, CT"
3280,100278,"hartford-bristol-middleton-new britain, ct","Hartford-East Hartford, CT"
3281,100278,"bristol, ct","Hartford-East Hartford, CT"
3282,100278,"middletown, ct","Hartford-East Hartford, CT"
3300,100279,"hattiesburg, ms","Hattiesburg-Laurel, MS"
3290,25860,"hickory-morganton, nc","Hickory-Lenoir-Morganton, NC"
3350,26380,"houma-thibodoux, la","Houma-Thibodaux, LA"
3361,100288,"brazoria, tx","Houston-The Woodlands, TX"
3360,100288,"houston-brazoria, tx","Houston-The Woodlands, TX"
2920,100288,"galveston-texas city, tx","Houston-The Woodlands, TX"
3400,100170,"huntington-ashland, wv/ky/oh","Charleston-Huntington-Ashland, WV-OH-KY"
3440,100290,"huntsville, al","Huntsville-Decatur, AL"
400,100294,"anderson, in","Indianapolis-Carmel-Muncie, IN"
3480,100294,"indianapolis, in","Indianapolis-Carmel-Muncie, IN"
3500,100168,"iowa city, ia","Cedar Rapids-Iowa City, IA"
3520,27100,"jackson, mi","Jackson, MI"
3560,100298,"jackson, ms","Jackson-Vicksburg-Brookhaven, MS"
3580,100297,"jackson, tn","Jackson-Brownsville, TN"
3590,100300,"jacksonville, fl","Jacksonville-St. Marys-Palatka, FL-GA"
3600,27340,"jacksonville, nc","Jacksonville, NC"
