numfips,csa_f_a,name_csa_f_a
46013,10100,"Aberdeen, SD"
46045,10100,"Aberdeen, SD"
53027,10140,"Aberdeen, WA"
48059,10180,"Abilene, TX"
48253,10180,"Abilene, TX"
48441,10180,"Abilene, TX"
40123,10220,"Ada, OK"
26091,100220,"Detroit-Warren-Ann Arbor, MI"
72003,10380,"Aguadilla-Isabela, PR"
72005,10380,"Aguadilla-Isabela, PR"
72011,10380,"Aguadilla-Isabela, PR"
72071,10380,"Aguadilla-Isabela, PR"
72081,10380,"Aguadilla-Isabela, PR"
72099,10380,"Aguadilla-Isabela, PR"
72117,10380,"Aguadilla-Isabela, PR"
72131,10380,"Aguadilla-Isabela, PR"
72141,10380,"Aguadilla-Isabela, PR"
39133,100184,"Cleveland-Akron-Canton, OH"
39153,100184,"Cleveland-Akron-Canton, OH"
35035,10460,"Alamogordo, NM"
13095,10500,"Albany, GA"
13177,10500,"Albany, GA"
13273,10500,"Albany, GA"
13321,10500,"Albany, GA"
41043,100440,"Portland-Vancouver-Salem, OR-WA"
36001,100104,"Albany-Schenectady, NY"
36083,100104,"Albany-Schenectady, NY"
36091,100104,"Albany-Schenectady, NY"
36093,100104,"Albany-Schenectady, NY"
36095,100104,"Albany-Schenectady, NY"
37167,100172,"Charlotte-Concord, NC-SC"
27047,10660,"Albert Lea, MN"
1095,10700,"Albertville, AL"
35001,100106,"Albuquerque-Santa Fe-Las Vegas, NM"
35043,100106,"Albuquerque-Santa Fe-Las Vegas, NM"
35057,100106,"Albuquerque-Santa Fe-Las Vegas, NM"
35061,100106,"Albuquerque-Santa Fe-Las Vegas, NM"
1037,100388,"Montgomery-Selma-Alexander City, AL"
1123,100388,"Montgomery-Selma-Alexander City, AL"
22043,10780,"Alexandria, LA"
22079,10780,"Alexandria, LA"
27041,10820,"Alexandria, MN"
48131,100204,"Corpus Christi-Kingsville-Alice, TX"
48249,100204,"Corpus Christi-Kingsville-Alice, TX"
34041,10900,"Allentown-Bethlehem-Easton, PA-NJ"
42025,10900,"Allentown-Bethlehem-Easton, PA-NJ"
42077,10900,"Allentown-Bethlehem-Easton, PA-NJ"
42095,10900,"Allentown-Bethlehem-Easton, PA-NJ"
26057,100394,"Mount Pleasant-Alma, MI"
26007,10980,"Alpena, MI"
42013,100107,"Altoona-Huntingdon, PA"
40065,11060,"Altus, OK"
48011,100108,"Amarillo-Pampa-Borger, TX"
48065,100108,"Amarillo-Pampa-Borger, TX"
48359,100108,"Amarillo-Pampa-Borger, TX"
