cbsa,count_SELF,sum_SELF,share_SELF,count_INC,sum_INC,share_INC,count_entrep,sum_entrep,share_entrep,count_ba,sum_ba,share_ba
"Abilene, TX",969.0,95.0,0.09803921568627451,969.0,28.0,0.02889576883384933,1013.0,76.0,0.07502467917077986,969.0,259.0,0.2672858617131063
"Akron, OH",4046.0,378.0,0.09342560553633218,4046.0,140.0,0.03460207612456748,5369.0,308.0,0.05736636245110821,4046.0,1503.0,0.37147800296589223
"Albany-Schenectady-Troy, NY",5608.0,483.0,0.08612696148359486,5608.0,163.0,0.02906562054208274,8692.0,415.0,0.04774505292222733,5608.0,2391.0,0.4263552068473609
"Albuquerque, NM",4562.0,462.0,0.10127137220517317,4562.0,155.0,0.03397632617273126,5201.0,365.0,0.07017881176696789,4562.0,1810.0,0.396755808855765
"Allentown-Bethlehem-Easton, PA-NJ",4565.0,358.0,0.07842278203723987,4565.0,121.0,0.02650602409638554,6885.0,373.0,0.05417574437182281,4565.0,1612.0,0.3531215772179628
"Amarillo, TX",1481.0,187.0,0.1262660364618501,1481.0,69.0,0.04659014179608373,1692.0,105.0,0.06205673758865248,1481.0,442.0,0.29844699527346386
"Anchorage, AK",2020.0,219.0,0.10841584158415841,2020.0,67.0,0.03316831683168317,2813.0,166.0,0.05901173124777817,2020.0,623.0,0.3084158415841584
"Ann Arbor, MI",2370.0,225.0,0.0949367088607595,2370.0,86.0,0.036286919831223625,4620.0,194.0,0.04199134199134199,2370.0,1264.0,0.5333333333333333
"Anniston-Oxford, AL",521.0,39.0,0.07485604606525911,521.0,11.0,0.02111324376199616,543.0,31.0,0.0570902394106814,521.0,109.0,0.2092130518234165
"Appleton, WI",957.0,75.0,0.07836990595611286,957.0,33.0,0.034482758620689655,1944.0,114.0,0.05864197530864197,957.0,290.0,0.30303030303030304
"Asheville, NC",2877.0,454.0,0.1578032672923184,2877.0,159.0,0.05526590198123045,3967.0,344.0,0.0867154020670532,2877.0,1214.0,0.4219673270768161
"Ashtabula, OH",592.0,43.0,0.07263513513513513,592.0,15.0,0.02533783783783784,272.0,26.0,0.09558823529411764,592.0,108.0,0.18243243243243243
"Athens-Clarke County, GA",819.0,79.0,0.09645909645909646,819.0,37.0,0.045177045177045176,2199.0,104.0,0.04729422464756708,819.0,370.0,0.4517704517704518
"Atlanta-Sandy Springs-Alpharetta, GA",30075.0,3360.0,0.11172069825436409,30075.0,1501.0,0.049908561928512056,75194.0,4443.0,0.05908716120967098,30075.0,13602.0,0.4522693266832918
"Atlantic City-Hammonton, NJ",1525.0,156.0,0.10229508196721311,1525.0,58.0,0.0380327868852459,1499.0,102.0,0.06804536357571714,1525.0,572.0,0.37508196721311476
"Auburn-Opelika, AL",714.0,65.0,0.09103641456582633,714.0,21.0,0.029411764705882353,1382.0,72.0,0.05209840810419682,714.0,295.0,0.41316526610644255
"Augusta-Richmond County, GA-SC",2691.0,202.0,0.07506503158677072,2691.0,62.0,0.023039762170196952,7229.0,339.0,0.04689445289804952,2691.0,855.0,0.3177257525083612
"Augusta-Waterville, ME",673.0,87.0,0.12927191679049035,673.0,25.0,0.03714710252600297,703.0,48.0,0.06827880512091039,673.0,215.0,0.31946508172362553
"Austin-Round Rock-Georgetown, TX",12104.0,1472.0,0.12161269001982816,12104.0,516.0,0.042630535360211504,32925.0,1885.0,0.05725132877752468,12104.0,6357.0,0.525198281559815
"Bakersfield, CA",3518.0,365.0,0.10375213189312109,3518.0,98.0,0.02785673678226265,3755.0,222.0,0.059121171770972036,3518.0,723.0,0.20551449687322343
"Baltimore-Columbia-Towson, MD",16701.0,1549.0,0.09274893718938985,16701.0,651.0,0.03897970181426262,26662.0,1353.0,0.050746380616607904,16701.0,7856.0,0.47039099455122446
"Bangor, ME",1013.0,111.0,0.10957551826258638,1013.0,41.0,0.040473840078973346,1120.0,63.0,0.05625,1013.0,278.0,0.2744323790720632
"Barnstable Town, MA",1786.0,306.0,0.1713325867861142,1786.0,90.0,0.05039193729003359,1574.0,156.0,0.09911054637865312,1786.0,898.0,0.5027995520716685
"Baton Rouge, LA",3264.0,340.0,0.10416666666666667,3264.0,124.0,0.03799019607843137,6441.0,371.0,0.0575997515913678,3264.0,1064.0,0.32598039215686275
"Beaumont-Port Arthur, TX",2209.0,165.0,0.07469443186962427,2209.0,44.0,0.019918515165233137,2322.0,134.0,0.05770887166236004,2209.0,450.0,0.2037120869171571
"Bellingham, WA",1248.0,151.0,0.12099358974358974,1248.0,66.0,0.052884615384615384,1809.0,166.0,0.09176340519624102,1248.0,464.0,0.3717948717948718
"Bend, OR",783.0,133.0,0.1698595146871009,783.0,57.0,0.07279693486590039,1830.0,191.0,0.10437158469945355,783.0,327.0,0.41762452107279696
"Binghamton, NY",1644.0,121.0,0.07360097323600973,1644.0,35.0,0.021289537712895375,1143.0,65.0,0.0568678915135608,1644.0,506.0,0.3077858880778589
"Birmingham-Hoover, AL",5933.0,522.0,0.08798247092533289,5933.0,178.0,0.03000168548794876,9473.0,497.0,0.05246490024279531,5933.0,2161.0,0.36423394572728807
"Bismarck, ND",742.0,126.0,0.16981132075471697,742.0,37.0,0.04986522911051213,927.0,44.0,0.04746494066882417,742.0,221.0,0.29784366576819404
"Blacksburg-Christiansburg, VA",1101.0,73.0,0.06630336058128973,1101.0,22.0,0.019981834695731154,1376.0,52.0,0.0377906976744186,1101.0,339.0,0.3079019073569482
"Bloomington, IL",1215.0,97.0,0.07983539094650206,1215.0,25.0,0.0205761316872428,2115.0,101.0,0.04775413711583924,1215.0,484.0,0.3983539094650206
"Bloomington, IN",930.0,74.0,0.07956989247311828,930.0,17.0,0.01827956989247312,1665.0,73.0,0.04384384384384384,930.0,370.0,0.3978494623655914
"Boise City, ID",3452.0,474.0,0.1373117033603708,3452.0,178.0,0.051564310544611816,7409.0,563.0,0.07598866243757592,3452.0,1221.0,0.3537079953650058
"Boston-Cambridge-Newton, MA-NH",32528.0,2952.0,0.09075258239055582,32528.0,980.0,0.03012788981800295,70438.0,3155.0,0.044791163860416254,32528.0,17648.0,0.5425479586817511
"Bowling Green, KY",677.0,66.0,0.09748892171344166,677.0,26.0,0.03840472673559823,1153.0,62.0,0.053772766695576756,677.0,215.0,0.3175775480059084
"Bremerton-Silverdale-Port Orchard, WA",1887.0,177.0,0.09379968203497616,1887.0,51.0,0.02702702702702703,1595.0,91.0,0.057053291536050155,1887.0,688.0,0.3645998940116587
"Bridgeport-Stamford-Norwalk, CT",5988.0,810.0,0.13527054108216433,5988.0,309.0,0.051603206412825654,8051.0,544.0,0.06756924605639052,5988.0,3440.0,0.5744822979291917
"Brownsville-Harlingen, TX",1947.0,222.0,0.1140215716486903,1947.0,60.0,0.030816640986132512,984.0,62.0,0.06300813008130081,1947.0,461.0,0.23677452491011813
"Buffalo-Cheektowaga, NY",6981.0,549.0,0.07864202836269875,6981.0,240.0,0.034379028792436615,9510.0,441.0,0.04637223974763407,6981.0,2687.0,0.38490187652198826
"Burlington, NC",1131.0,117.0,0.10344827586206896,1131.0,36.0,0.03183023872679045,1000.0,58.0,0.058,1131.0,346.0,0.3059239610963749
"Burlington-South Burlington, VT",1116.0,114.0,0.10215053763440861,1116.0,47.0,0.042114695340501794,1997.0,117.0,0.058587881822734104,1116.0,459.0,0.4112903225806452
"Canton-Massillon, OH",2442.0,208.0,0.08517608517608517,2442.0,87.0,0.03562653562653563,2298.0,141.0,0.06135770234986945,2442.0,648.0,0.26535626535626533
"Cape Coral-Fort Myers, FL",4314.0,687.0,0.1592489568845619,4314.0,348.0,0.08066759388038942,5287.0,482.0,0.09116701342916587,4314.0,1441.0,0.33402874362540563
"Cedar Rapids, IA",972.0,70.0,0.0720164609053498,972.0,20.0,0.0205761316872428,2697.0,138.0,0.05116796440489433,972.0,337.0,0.34670781893004116
"Champaign-Urbana, IL",1240.0,87.0,0.07016129032258064,1240.0,29.0,0.02338709677419355,2367.0,90.0,0.03802281368821293,1240.0,491.0,0.3959677419354839
"Charleston, WV",898.0,68.0,0.0757238307349666,898.0,19.0,0.021158129175946547,1055.0,49.0,0.046445497630331754,898.0,315.0,0.3507795100222717
"Charleston-North Charleston, SC",4297.0,505.0,0.11752385385152432,4297.0,192.0,0.04468233651384687,8555.0,572.0,0.0668614845119813,4297.0,1888.0,0.43937630905282754
"Charlotte-Concord-Gastonia, NC-SC",15599.0,1594.0,0.10218603756651068,15599.0,619.0,0.03968203089941663,31040.0,1655.0,0.05331829896907216,15599.0,6340.0,0.40643631001987307
"Chattanooga, TN-GA",3473.0,380.0,0.10941549093003167,3473.0,117.0,0.03368845378635186,5328.0,328.0,0.06156156156156156,3473.0,1242.0,0.3576158940397351
"Chicago-Naperville-Elgin, IL-IN-WI",49259.0,4600.0,0.09338395014109097,49259.0,2177.0,0.04419496944720762,103102.0,4619.0,0.04480029485364009,49259.0,22405.0,0.454840739763292
"Chico, CA",1238.0,142.0,0.1147011308562197,1238.0,37.0,0.02988691437802908,1342.0,97.0,0.07228017883755589,1238.0,422.0,0.3408723747980614
"Cincinnati, OH-KY-IN",11490.0,969.0,0.08433420365535248,11490.0,352.0,0.030635335073977372,22989.0,1084.0,0.047152986210796465,11490.0,4567.0,0.39747606614447345
"Clarksville, TN-KY",1765.0,151.0,0.08555240793201133,1765.0,47.0,0.026628895184135977,2114.0,83.0,0.03926206244087039,1765.0,409.0,0.23172804532577904
"Cleveland-Elyria, OH",12845.0,1156.0,0.08999610743479954,12845.0,449.0,0.03495523550019463,16256.0,804.0,0.04945866141732284,12845.0,4931.0,0.38388478007006616
"Coeur d'Alene, ID",774.0,99.0,0.12790697674418605,774.0,35.0,0.04521963824289406,2209.0,179.0,0.08103214124038026,774.0,224.0,0.28940568475452194
"College Station-Bryan, TX",1398.0,100.0,0.0715307582260372,1398.0,44.0,0.031473533619456366,2544.0,101.0,0.03970125786163522,1398.0,524.0,0.3748211731044349
"Colorado Springs, CO",4283.0,484.0,0.11300490310530002,4283.0,209.0,0.048797571795470465,8044.0,569.0,0.07073595226255594,4283.0,1652.0,0.3857109502685034
"Columbia, MO",871.0,70.0,0.08036739380022963,871.0,16.0,0.018369690011481057,2485.0,117.0,0.047082494969818915,871.0,362.0,0.41561423650975887
"Columbia, SC",5105.0,495.0,0.0969637610186092,5105.0,207.0,0.0405484818805093,7253.0,410.0,0.05652833310354336,5105.0,1879.0,0.36807051909892263
"Columbus, OH",11585.0,957.0,0.0826068191627104,11585.0,316.0,0.027276650841605524,23188.0,1102.0,0.0475245816801794,11585.0,4845.0,0.4182132067328442
"Corpus Christi, TX",2562.0,307.0,0.11982825917252146,2562.0,84.0,0.03278688524590164,2454.0,137.0,0.05582722086389568,2562.0,640.0,0.2498048399687744
"Crestview-Fort Walton Beach-Destin, FL",1420.0,163.0,0.1147887323943662,1420.0,57.0,0.04014084507042254,2155.0,184.0,0.08538283062645012,1420.0,526.0,0.3704225352112676
"Dallas-Fort Worth-Arlington, TX",42186.0,4646.0,0.11013132318778741,42186.0,1643.0,0.038946569952116816,87765.0,4694.0,0.0534837349740785,42186.0,17760.0,0.4209927464087612
"Dalton, GA",537.0,45.0,0.08379888268156424,537.0,17.0,0.03165735567970205,571.0,40.0,0.07005253940455342,537.0,112.0,0.2085661080074488
"Daphne-Fairhope-Foley, AL",897.0,115.0,0.1282051282051282,897.0,51.0,0.056856187290969896,1188.0,114.0,0.09595959595959595,897.0,301.0,0.3355629877369008
"Davenport-Moline-Rock Island, IA-IL",1705.0,136.0,0.07976539589442816,1705.0,60.0,0.03519061583577713,1882.0,92.0,0.048884165781083955,1705.0,485.0,0.2844574780058651
"Decatur, AL",791.0,76.0,0.09608091024020228,791.0,22.0,0.02781289506953224,708.0,35.0,0.04943502824858757,791.0,184.0,0.23261694058154236
"Decatur, IL",670.0,58.0,0.08656716417910448,670.0,19.0,0.028358208955223882,526.0,29.0,0.055133079847908745,670.0,144.0,0.21492537313432836
"Deltona-Daytona Beach-Ormond Beach, FL",3549.0,480.0,0.1352493660185968,3549.0,212.0,0.05973513665821358,4467.0,369.0,0.08260577568838147,3549.0,1053.0,0.2967032967032967
"Denver-Aurora-Lakewood, CO",19630.0,2320.0,0.11818644931227713,19630.0,1034.0,0.052674477840040757,43126.0,2719.0,0.06304781338403748,19630.0,9988.0,0.5088130412633723
"Des Moines-West Des Moines, IA",3319.0,293.0,0.08827960228984634,3319.0,94.0,0.028321783669780054,7252.0,358.0,0.04936569222283508,3319.0,1216.0,0.3663754142814101
"Detroit-Warren-Dearborn, MI",20543.0,1956.0,0.09521491505622354,20543.0,772.0,0.037579710850411334,42715.0,2095.0,0.049046002575207776,20543.0,8037.0,0.3912281555761086
"Dover, DE",925.0,69.0,0.0745945945945946,925.0,32.0,0.034594594594594595,975.0,53.0,0.05435897435897436,925.0,253.0,0.2735135135135135
"Durham-Chapel Hill, NC",2837.0,290.0,0.10222065562213606,2837.0,98.0,0.03454353189989425,12688.0,562.0,0.044293820933165196,2837.0,1646.0,0.5801903419104688
"East Stroudsburg, PA",443.0,32.0,0.07223476297968397,443.0,16.0,0.03611738148984198,796.0,52.0,0.06532663316582915,443.0,130.0,0.29345372460496616
"Eau Claire, WI",876.0,115.0,0.1312785388127854,876.0,32.0,0.0365296803652968,1371.0,86.0,0.06272793581327499,876.0,226.0,0.2579908675799087
"El Centro, CA",622.0,54.0,0.08681672025723473,622.0,12.0,0.01929260450160772,376.0,15.0,0.0398936170212766,622.0,97.0,0.15594855305466238
"El Paso, TX",4139.0,401.0,0.09688330514617058,4139.0,113.0,0.027301280502536846,4291.0,191.0,0.04451176881845723,4139.0,1150.0,0.27784489007006524
"Elkhart-Goshen, IN",999.0,83.0,0.08308308308308308,999.0,31.0,0.031031031031031032,1252.0,69.0,0.05511182108626198,999.0,239.0,0.23923923923923923
